timestep_index,time_fs,state_54_eV,state_55_eV,state_56_eV,state_57_eV,state_58_eV,state_59_eV,state_60_eV,state_61_eV,state_62_eV
671,2.434607,-6.9848123278083705,-6.305711524661165,-5.976055058112892,-5.717964765587168,-2.556670520205865,-2.187074717579065,-1.408595895372091,-0.8320401327432415,-0.7142219273438819
676,2.45274863,-6.985098379344442,-6.306545757176611,-5.976683607796925,-5.717154344206983,-2.555742741331055,-2.1869885276467884,-1.4081610577051094,-0.8299381992744042,-0.7156407313736834
681,2.47089027,-6.985385160117354,-6.307360985628545,-5.977315068863344,-5.716348451007696,-2.554816422365708,-2.186906231915714,-1.4077343643574183,-0.8278858964741984,-0.7170638463405384
686,2.4890319,-6.985672672002942,-6.308157115211639,-5.977949451511064,-5.715547158151118,-2.5538916526371387,-2.186827824258041,-1.4073158310866902,-0.8258837705804594,-0.7184911025501628
691,2.50717353,-6.985960916933494,-6.308934055922196,-5.9785867700639495,-5.7147505267965775,-2.5529685046758446,-2.1867532982026963,-1.4069054790349278,-0.823932286495003,-0.7199223225481896
696,2.52531516,-6.986249901026769,-6.309691713036603,-5.979227031426221,-5.71395862911638,-2.5520470679964364,-2.1866826534971726,-1.4065033249247358,-0.822031944023882,-0.7213573204771364
701,2.54345679,-6.986539639249173,-6.3104299938979675,-5.9798702418321605,-5.713171530503508,-2.5511274285655325,-2.186615890367651,-1.4061093817532877,-0.8201832397838223,-0.7227958920587946
706,2.56159842,-6.986830128002674,-6.31114881597958,-5.980516409020712,-5.7123892962569505,-2.5502096687583005,-2.186553012759349,-1.405723673111698,-0.8183866343634661,-0.7242378129556383
711,2.57974006,-6.987121382832258,-6.311848094036998,-5.98116554178167,-5.711611993863969,-2.5492938722066825,-2.1864940128618113,-1.4053462153167098,-0.8166426415971831,-0.7256828478786329
716,2.59788169,-6.987413405556252,-6.312527737504021,-5.981817637947467,-5.710839682330758,-2.548380131146962,-2.1864388954501055,-1.4049770214799315,-0.8149516539487325,-0.727130738575439
721,2.61602332,-6.987706215142124,-6.313187661123593,-5.982472711471517,-5.710072423030111,-2.5474685293377526,-2.1863876552145762,-1.4046161006173994,-0.8133142308290154,-0.7285812100815371
726,2.63416495,-6.987999813945466,-6.31382777174013,-5.983130760709802,-5.709310270508842,-2.5465591523960245,-2.1863402810933796,-1.40426347921743,-0.8117307540813725,-0.730033959459359
