timestep_index,state_54_eV,state_55_eV,state_56_eV,state_57_eV,state_58_eV,state_59_eV,state_60_eV,state_61_eV,state_62_eV
291,-6.96452891509,-6.20018208855,-5.93730897175,-5.78459804536,-2.62445189097,-2.20392952689,-1.46249400722,-1.06161362795,-0.62488147491
296,-6.96478433883,-6.20188565562,-5.93767084342,-5.78380059807,-2.62368408699,-2.20360194769,-1.46161599956,-1.05893656373,-0.625781209902
301,-6.96503995503,-6.20358768005,-5.93803844587,-5.78299609995,-2.62291071839,-2.20327633571,-1.46073753726,-1.05621859558,-0.626688781978
306,-6.96529574488,-6.20528785713,-5.93841164518,-5.78218478711,-2.62213185035,-2.20295270614,-1.45985892394,-1.05346066574,-0.627604171402
311,-6.96555174135,-6.2069859156,-5.93879034918,-5.78136693873,-2.62134759737,-2.20263112344,-1.45898049752,-1.05066378016,-0.628527409047
316,-6.96580793099,-6.20868152582,-5.93917442607,-5.7805427843,-2.62055804096,-2.20231160914,-1.45810254282,-1.04782896545,-0.629458481105
321,-6.96606432093,-6.21037435776,-5.93956377404,-5.7797125728,-2.61976326814,-2.20199419631,-1.45722535331,-1.0449572022,-0.630397390869
326,-6.96632091385,-6.21206408806,-5.93995828029,-5.77887654155,-2.61896336789,-2.20167892631,-1.45634922663,-1.04204960007,-0.631344135091
331,-6.96657771537,-6.21375042355,-5.94035784581,-5.77803492979,-2.61815841318,-2.20136583995,-1.45547444808,-1.03910727473,-0.632298708547
336,-6.96683472726,-6.21543306766,-5.9407623678,-5.77718797969,-2.61734850428,-2.20105497961,-1.45460129465,-1.03613135454,-0.633261101143
341,-6.96709195197,-6.21711174711,-5.94117175257,-5.77633591947,-2.61653373293,-2.200746371,-1.45373004547,-1.03312300707,-0.6342312987
346,-6.96734939459,-6.21878617744,-5.94158590296,-5.77547897927,-2.61571419008,-2.20044005712,-1.45286096437,-1.03008335355,-0.635209289284
351,-6.96760705633,-6.22045606425,-5.9420047235,-5.77461738651,-2.61488995786,-2.20013607184,-1.45199430126,-1.02701358264,-0.63619505297
